_id,_depart,_departLane,_departPos,_departSpeed,_departDelay,_arrival,_arrivalLane,_arrivalPos,_arrivalSpeed,_duration,_routeLength,_waitingTime,_waitingCount,_stopTime,_timeLoss,_rerouteNo,_devices,_vType,_speedFactor,_vaporized
veh13,33.00,4937070#0_1,1.49,0.00,0.32,100.00,326772508#2_0,82.72,13.55,67.00,778.28,0.00,0,0.00,11.47,1,vehroute_veh13 tripinfo_veh13 routing_veh13 fcd_veh13,veh_passenger,1.05,
veh3,8.00,55668397_0,5.10,0.00,0.46,108.00,-192108787#0_0,18.48,8.41,100.00,1111.72,0.00,0,0.00,14.31,1,vehroute_veh3 tripinfo_veh3 routing_veh3 fcd_veh3,veh_passenger,1.08,
veh2,6.00,3936652#2_0,5.10,0.00,0.97,137.00,37747503#1_0,74.05,13.14,131.00,1147.01,15.00,2,0.00,36.82,1,vehroute_veh2 tripinfo_veh2 routing_veh2 fcd_veh2,veh_passenger,1.01,
veh12,31.00,-20485040#11_0,5.10,0.00,0.84,149.00,-22566798#1_0,139.56,13.50,118.00,1211.42,10.00,1,0.00,29.89,1,vehroute_veh12 tripinfo_veh12 routing_veh12 fcd_veh12,veh_passenger,1.03,
veh34,86.00,627577866#1_0,5.10,0.00,0.54,153.00,13904645#2_0,34.12,8.43,67.00,686.71,2.00,1,0.00,15.06,1,vehroute_veh34 tripinfo_veh34 routing_veh34 fcd_veh34,veh_passenger,1.15,
veh21,53.00,-150800557#1_0,0.41,0.00,0.22,170.00,-40260272#2_0,1.81,6.05,117.00,750.31,28.00,6,0.00,64.44,1,vehroute_veh21 tripinfo_veh21 routing_veh21 fcd_veh21,veh_passenger,1.16,
veh1,3.00,-4539929#1_0,5.10,0.00,0.49,183.00,-3936650_0,143.67,7.00,180.00,1538.29,23.00,3,0.00,50.04,1,vehroute_veh1 tripinfo_veh1 routing_veh1 fcd_veh1,veh_passenger,0.94,
veh36,91.00,293281653#1_2,5.10,0.00,0.51,192.00,-4395775#4_0,18.19,10.13,101.00,1048.10,1.00,1,0.00,33.05,1,vehroute_veh36 tripinfo_veh36 routing_veh36 fcd_veh36,veh_passenger,1.17,
veh8,21.00,44069390#0_0,5.10,0.00,0.89,194.00,-112410779#1_0,54.37,7.65,173.00,1241.97,4.00,2,0.00,25.84,1,vehroute_veh8 tripinfo_veh8 routing_veh8 fcd_veh8,veh_passenger,0.94,
veh20,51.00,-3957136#0_0,5.10,0.00,0.73,197.00,-4541289#6_0,53.31,12.38,146.00,1168.42,0.00,0,0.00,17.86,1,vehroute_veh20 tripinfo_veh20 routing_veh20 fcd_veh20,veh_passenger,0.94,
